sep=,
"Time","GPU 2","GPU 2","GPU 1","GPU 3","GPU 3","GPU 0"
2025-05-18 03:00:00,,0,4975,,0,12123
2025-05-18 03:30:00,,0,4975,,0,12123
2025-05-18 04:00:00,,0,4975,,0,12123
2025-05-18 04:30:00,,0,4975,,0,12123
2025-05-18 05:00:00,,0,4975,,0,12123
2025-05-18 05:30:00,,0,4975,,0,12123
2025-05-18 06:00:00,,0,4975,,0,12123
2025-05-18 06:30:00,,0,4975,,0,12123
2025-05-18 07:00:00,,0,4975,,0,12123
2025-05-18 07:30:00,,0,4975,,0,12123
2025-05-18 08:00:00,,0,4975,,0,12123
2025-05-18 08:30:00,,0,4975,,0,12123
2025-05-18 09:00:00,,0,4975,,0,12123
2025-05-18 09:30:00,,0,4975,,0,12123
2025-05-18 10:00:00,,0,4975,,0,12123
2025-05-18 10:30:00,,0,4975,,0,12123
2025-05-18 11:00:00,,0,4975,,0,12123
2025-05-18 11:30:00,,0,4975,,0,12123
2025-05-18 12:00:00,,0,4975,,0,12123
2025-05-18 12:30:00,,0,4975,,0,12123
2025-05-18 13:00:00,,0,4975,,0,12123
2025-05-18 13:30:00,,0,4975,,0,12123
2025-05-18 14:00:00,,0,4975,,0,12123
2025-05-18 14:30:00,,0,4975,,0,12123
2025-05-18 15:00:00,,0,4975,,0,12123
2025-05-18 15:30:00,,0,4975,,0,12123
2025-05-18 16:00:00,,0,4975,,0,12123
2025-05-18 16:30:00,,0,4975,,0,12123
2025-05-18 17:00:00,,0,4975,,0,12123
2025-05-18 17:30:00,,0,4975,,0,12123
2025-05-18 18:00:00,,0,4975,,0,12123
2025-05-18 18:30:00,,0,4975,,0,12123
2025-05-18 19:00:00,,0,4975,,0,12123
2025-05-18 19:30:00,,0,4975,,0,12123
2025-05-18 20:00:00,,0,4975,,0,12123
2025-05-18 20:30:00,,0,4975,,0,12123
2025-05-18 21:00:00,,0,4975,,0,12123
2025-05-18 21:30:00,,0,4975,,0,12123
2025-05-18 22:00:00,,0,4975,,0,12123
2025-05-18 22:30:00,,0,4975,,0,12123
2025-05-18 23:00:00,,0,4975,,0,12123
2025-05-18 23:30:00,,0,4975,,0,12123
2025-05-19 00:00:00,,0,4975,,0,12123
2025-05-19 00:30:00,,0,4975,,0,12123
2025-05-19 01:00:00,,0,4975,,0,12123
2025-05-19 01:30:00,,0,4975,,0,12123
2025-05-19 02:00:00,,0,4975,,0,12123
2025-05-19 02:30:00,,0,4975,,0,12123
2025-05-19 03:00:00,,0,4975,,0,12123
2025-05-19 03:30:00,,0,4975,,0,12123
2025-05-19 04:00:00,,0,4975,,0,12123
2025-05-19 04:30:00,,0,4975,,0,12123
2025-05-19 05:00:00,,0,4975,,0,12123
2025-05-19 05:30:00,,0,4975,,0,12123
2025-05-19 06:00:00,,0,4975,,0,12123
2025-05-19 06:30:00,,0,4975,,0,12123
2025-05-19 07:00:00,,0,4975,,0,12123
2025-05-19 07:30:00,0,,4975,,0,12123
2025-05-19 08:00:00,8773,,4975,,0,12123
2025-05-19 08:30:00,9905,,4975,,0,12123
2025-05-19 09:00:00,9085,,4975,,0,12123
2025-05-19 09:30:00,7215,,4975,,0,12123
2025-05-19 10:00:00,9937,,4975,,0,12123
2025-05-19 10:30:00,10021,,4975,,0,12123
2025-05-19 11:00:00,7641,,4975,,0,12123
2025-05-19 11:30:00,7859,,4975,,0,12123
2025-05-19 12:00:00,8741,,4975,,0,12123
2025-05-19 12:30:00,9273,,4975,,0,12123
2025-05-19 13:00:00,7579,,4975,,0,12125
2025-05-19 13:30:00,7479,,4975,,0,12125
2025-05-19 14:00:00,8049,,4975,,0,12125
2025-05-19 14:30:00,8977,,4975,,0,12125
2025-05-19 15:00:00,8665,,4975,,0,12125
2025-05-19 15:30:00,11491,,4975,,0,12125
2025-05-19 16:00:00,10705,,4975,,0,12125
2025-05-19 16:30:00,9853,,4975,,0,12125
2025-05-19 17:00:00,11125,,4975,,0,12125
2025-05-19 17:30:00,12277,,4975,,0,12125
2025-05-19 18:00:00,13817,,4975,,0,12125
2025-05-19 18:30:00,8917,,4975,,0,12125
2025-05-19 19:00:00,9717,,4975,,0,12125
2025-05-19 19:30:00,8985,,4975,,0,12125
2025-05-19 20:00:00,8391,,4975,,0,12125
2025-05-19 20:30:00,12827,,4975,,0,12125
2025-05-19 21:00:00,13411,,4975,,0,12125
2025-05-19 21:30:00,10455,,4975,,0,12125
2025-05-19 22:00:00,12595,,4975,,0,12125
2025-05-19 22:30:00,8879,,4975,,0,12125
2025-05-19 23:00:00,12581,,4975,,0,12125
2025-05-19 23:30:00,9691,,4975,,0,12125
2025-05-20 00:00:00,13493,,4975,,0,12125
2025-05-20 00:30:00,13493,,4975,,0,12125
2025-05-20 01:00:00,9659,,4975,,0,12125
2025-05-20 01:30:00,10871,,4975,,0,12125
2025-05-20 02:00:00,10871,,4975,,0,12125
2025-05-20 02:30:00,9611,,4975,,0,12125
2025-05-20 03:00:00,10787,,4975,,0,12125
2025-05-20 03:30:00,9029,,4975,,0,12125
2025-05-20 04:00:00,9345,,4975,,0,12125
2025-05-20 04:30:00,11221,,4975,,0,12125
2025-05-20 05:00:00,11223,,4975,,0,12125
2025-05-20 05:30:00,11223,,4975,,0,12125
2025-05-20 06:00:00,11223,,4975,,0,12125
2025-05-20 06:30:00,11223,,4975,,0,12125
2025-05-20 07:00:00,9369,,4975,,0,12125
2025-05-20 07:30:00,9369,,4975,,0,12125
2025-05-20 08:00:00,9371,,4975,,0,12125
2025-05-20 08:30:00,10011,,4975,,0,12125
2025-05-20 09:00:00,11399,,4975,,0,12125
2025-05-20 09:30:00,10473,,4975,,0,12125
2025-05-20 10:00:00,11115,,4975,,0,12125
2025-05-20 10:30:00,11093,,4975,,0,12125
2025-05-20 11:00:00,13147,,4975,,0,12125
2025-05-20 11:30:00,10853,,4975,,0,12125
2025-05-20 12:00:00,10463,,4975,,0,12125
2025-05-20 12:30:00,11401,,4975,,0,12125
2025-05-20 13:00:00,10373,,4975,,0,12125
2025-05-20 13:30:00,9655,,4975,,0,12125
2025-05-20 14:00:00,10647,,4975,,0,12125
2025-05-20 14:30:00,10305,,4975,,0,12125
2025-05-20 15:00:00,10633,,4975,,0,12125
2025-05-20 15:30:00,12345,,4975,,0,12125
2025-05-20 16:00:00,9487,,4975,,0,12125
