sep=,
"time","metric"," "
2025-05-14 18:00:00,Staff,8.10 K
2025-05-14 18:00:00,Student,2.14 Mil
2025-05-14 18:00:00,Unknown,6.62 K
2025-05-14 19:00:00,Faculty,26.8 K
2025-05-14 19:00:00,Member,5.85 K
2025-05-14 19:00:00,Staff,131 K
2025-05-14 19:00:00,Student,3.15 Mil
2025-05-14 19:00:00,Unknown,242 K
2025-05-14 20:00:00,Faculty,89.2 K
2025-05-14 20:00:00,Member,700
2025-05-14 20:00:00,Staff,393 K
2025-05-14 20:00:00,Student,1.98 Mil
2025-05-14 20:00:00,Unknown,96.9 K
2025-05-14 21:00:00,Faculty,497 K
2025-05-14 21:00:00,Staff,275 K
2025-05-14 21:00:00,Student,3.44 Mil
2025-05-14 21:00:00,Unknown,484 K
2025-05-14 22:00:00,Faculty,391 K
2025-05-14 22:00:00,Staff,36.8 K
2025-05-14 22:00:00,Student,2.88 Mil
2025-05-14 22:00:00,Unknown,1.16 Mil
2025-05-14 23:00:00,Faculty,28.9 K
2025-05-14 23:00:00,Member,7.10 K
2025-05-14 23:00:00,Staff,42.8 K
2025-05-14 23:00:00,Student,2.77 Mil
2025-05-14 23:00:00,Unknown,1.43 Mil
2025-05-15 00:00:00,Faculty,5.60 K
2025-05-15 00:00:00,Member,41.0 K
2025-05-15 00:00:00,Student,1.41 Mil
2025-05-15 00:00:00,Unknown,9.57 K
2025-05-15 01:00:00,Faculty,13.2 K
2025-05-15 01:00:00,Member,9.73 K
2025-05-15 01:00:00,Student,1.18 Mil
2025-05-15 01:00:00,Unknown,213 K
2025-05-15 02:00:00,Faculty,1.17 Mil
2025-05-15 02:00:00,Student,593 K
2025-05-15 02:00:00,Unknown,121 K
2025-05-15 03:00:00,Student,525 K
2025-05-15 03:00:00,Unknown,924
2025-05-15 04:00:00,Student,66.1 K
2025-05-15 05:00:00,Faculty,1.81 K
2025-05-15 05:00:00,Student,398 K
2025-05-15 05:00:00,Unknown,1.05 K
2025-05-15 06:00:00,Student,26.6 K
2025-05-15 06:00:00,Unknown,10.7 K
2025-05-15 07:00:00,Faculty,158 K
2025-05-15 07:00:00,Staff,117 K
2025-05-15 07:00:00,Student,148 K
2025-05-15 08:00:00,Faculty,139 K
2025-05-15 08:00:00,Member,243 K
2025-05-15 08:00:00,Staff,119 K
2025-05-15 08:00:00,Student,947 K
2025-05-15 08:00:00,Unknown,1.51 K
2025-05-15 09:00:00,Faculty,102 K
2025-05-15 09:00:00,Member,436 K
2025-05-15 09:00:00,Staff,201 K
2025-05-15 09:00:00,Student,1.42 Mil
2025-05-15 09:00:00,Unknown,238 K
2025-05-15 10:00:00,Faculty,345 K
2025-05-15 10:00:00,Member,4.97 K
2025-05-15 10:00:00,Staff,1.04 Mil
2025-05-15 10:00:00,Student,2.11 Mil
2025-05-15 10:00:00,Unknown,103 K
2025-05-15 11:00:00,Faculty,27.8 K
2025-05-15 11:00:00,Member,3.07 K
2025-05-15 11:00:00,Staff,997 K
2025-05-15 11:00:00,Student,2.68 Mil
2025-05-15 11:00:00,Unknown,63.6 K
2025-05-15 12:00:00,Faculty,134 K
2025-05-15 12:00:00,Staff,252 K
2025-05-15 12:00:00,Student,2.03 Mil
2025-05-15 12:00:00,Unknown,1.75 Mil
2025-05-15 13:00:00,Faculty,299 K
2025-05-15 13:00:00,Member,45.1 K
2025-05-15 13:00:00,Staff,415 K
2025-05-15 13:00:00,Student,2.06 Mil
2025-05-15 13:00:00,Unknown,165 K
2025-05-15 14:00:00,Faculty,155 K
2025-05-15 14:00:00,Member,32.9 K
2025-05-15 14:00:00,Staff,376 K
2025-05-15 14:00:00,Student,1.46 Mil
2025-05-15 14:00:00,Unknown,196 K
2025-05-15 15:00:00,Faculty,409 K
2025-05-15 15:00:00,Member,27.9 K
2025-05-15 15:00:00,Staff,1.05 Mil
2025-05-15 15:00:00,Student,1.72 Mil
2025-05-15 15:00:00,Unknown,74.4 K
2025-05-15 16:00:00,Faculty,955 K
2025-05-15 16:00:00,Member,767
2025-05-15 16:00:00,Staff,723 K
2025-05-15 16:00:00,Student,2.08 Mil
2025-05-15 16:00:00,Unknown,171 K
2025-05-15 17:00:00,Faculty,111 K
2025-05-15 17:00:00,Staff,859 K
2025-05-15 17:00:00,Student,1.79 Mil
2025-05-15 17:00:00,Unknown,89.1 K
2025-05-15 18:00:00,Alum,15.1 K
2025-05-15 18:00:00,Faculty,92.7 K
2025-05-15 18:00:00,Staff,20.4 K
2025-05-15 18:00:00,Student,2.44 Mil
2025-05-15 18:00:00,Unknown,192 K
2025-05-15 19:00:00,Faculty,105 K
2025-05-15 19:00:00,Staff,4.28 K
2025-05-15 19:00:00,Student,893 K
2025-05-15 19:00:00,Unknown,35.1 K
2025-05-15 20:00:00,Faculty,112 K
2025-05-15 20:00:00,Staff,1.07 K
2025-05-15 20:00:00,Student,2.16 Mil
2025-05-15 20:00:00,Unknown,2.19 Mil
2025-05-15 21:00:00,Faculty,69.5 K
2025-05-15 21:00:00,Member,46.4 K
2025-05-15 21:00:00,Staff,8.62 K
