sep=,
"time","metric"," "
2025-05-25 06:00:00,Member,1.71 K
2025-05-25 06:00:00,Student,89.1 K
2025-05-25 07:00:00,Member,17.3 K
2025-05-25 07:00:00,Student,2.53 K
2025-05-25 08:00:00,Faculty,17.6 K
2025-05-25 08:00:00,Member,100 K
2025-05-25 08:00:00,Staff,7.29 K
2025-05-25 08:00:00,Student,7.72 K
2025-05-25 09:00:00,Faculty,18.3 K
2025-05-25 09:00:00,Member,49.8 K
2025-05-25 09:00:00,Student,261 K
2025-05-25 09:00:00,Unknown,13.4 K
2025-05-25 10:00:00,Member,11.5 K
2025-05-25 10:00:00,Staff,2.55 K
2025-05-25 10:00:00,Student,420 K
2025-05-25 10:00:00,Unknown,118 K
2025-05-25 11:00:00,Member,82.6 K
2025-05-25 11:00:00,Staff,1.77 K
2025-05-25 11:00:00,Student,796 K
2025-05-25 11:00:00,Unknown,36.9 K
2025-05-25 12:00:00,Faculty,20.1 K
2025-05-25 12:00:00,Member,48.5 K
2025-05-25 12:00:00,Staff,3.57 K
2025-05-25 12:00:00,Student,923 K
2025-05-25 12:00:00,Unknown,129 K
2025-05-25 13:00:00,Faculty,8.00 K
2025-05-25 13:00:00,Member,1.83 K
2025-05-25 13:00:00,Staff,1.88 K
2025-05-25 13:00:00,Student,1.71 Mil
2025-05-25 13:00:00,Unknown,178 K
2025-05-25 14:00:00,Member,1.76 K
2025-05-25 14:00:00,Staff,16.5 K
2025-05-25 14:00:00,Student,2.16 Mil
2025-05-25 14:00:00,Unknown,329 K
2025-05-25 15:00:00,Member,35.4 K
2025-05-25 15:00:00,Staff,42.4 K
2025-05-25 15:00:00,Student,2.63 Mil
2025-05-25 15:00:00,Unknown,468 K
2025-05-25 16:00:00,Member,8.37 K
2025-05-25 16:00:00,Student,2.73 Mil
2025-05-25 16:00:00,Unknown,82.8 K
2025-05-25 17:00:00,Member,8.19 K
2025-05-25 17:00:00,Student,3.50 Mil
2025-05-25 17:00:00,Unknown,105 K
2025-05-25 18:00:00,Faculty,8.60 K
2025-05-25 18:00:00,Member,20.6 K
2025-05-25 18:00:00,Staff,623
2025-05-25 18:00:00,Student,1.52 Mil
2025-05-25 18:00:00,Unknown,46.9 K
2025-05-25 19:00:00,Faculty,2.39 K
2025-05-25 19:00:00,Member,1.56 K
2025-05-25 19:00:00,Student,2.23 Mil
2025-05-25 19:00:00,Unknown,128 K
2025-05-25 20:00:00,Faculty,8.33 K
2025-05-25 20:00:00,Member,1.23 K
2025-05-25 20:00:00,Staff,9.55 K
2025-05-25 20:00:00,Student,3.11 Mil
2025-05-25 20:00:00,Unknown,2.90 Mil
2025-05-25 21:00:00,Faculty,30.6 K
2025-05-25 21:00:00,Member,1.81 K
2025-05-25 21:00:00,Student,4.42 Mil
2025-05-25 21:00:00,Unknown,257 K
2025-05-25 22:00:00,Faculty,504 K
2025-05-25 22:00:00,Member,954
2025-05-25 22:00:00,Student,4.12 Mil
2025-05-25 22:00:00,Unknown,161 K
2025-05-25 23:00:00,Faculty,47.6 K
2025-05-25 23:00:00,Member,1.53 K
2025-05-25 23:00:00,Student,2.44 Mil
2025-05-25 23:00:00,Unknown,170 K
2025-05-26 00:00:00,Faculty,159 K
2025-05-26 00:00:00,Member,1.16 K
2025-05-26 00:00:00,Student,3.41 Mil
2025-05-26 00:00:00,Unknown,467 K
2025-05-26 01:00:00,Member,1.14 K
2025-05-26 01:00:00,Student,1.70 Mil
2025-05-26 01:00:00,Unknown,517 K
2025-05-26 02:00:00,Member,1.79 K
2025-05-26 02:00:00,Student,850 K
2025-05-26 02:00:00,Unknown,270 K
2025-05-26 03:00:00,Faculty,136
2025-05-26 03:00:00,Member,1.95 K
2025-05-26 03:00:00,Student,611 K
2025-05-26 04:00:00,Member,1.84 K
2025-05-26 04:00:00,Student,388 K
2025-05-26 05:00:00,Member,327 K
2025-05-26 05:00:00,Student,61.3 K
2025-05-26 06:00:00,Member,177 K
2025-05-26 06:00:00,Student,269 K
2025-05-26 07:00:00,Faculty,9.82 K
2025-05-26 07:00:00,Member,1.46 K
2025-05-26 07:00:00,Student,1.64 Mil
2025-05-26 08:00:00,Faculty,31.0 K
2025-05-26 08:00:00,Member,738 K
2025-05-26 08:00:00,Staff,17.3 K
2025-05-26 08:00:00,Student,1.05 Mil
2025-05-26 08:00:00,Unknown,10.2 K
2025-05-26 09:00:00,Faculty,568 K
2025-05-26 09:00:00,Member,405 K
2025-05-26 09:00:00,Staff,9.49 K
2025-05-26 09:00:00,Student,1.06 Mil
2025-05-26 09:00:00,Unknown,10.6 K
2025-05-26 10:00:00,Faculty,34.3 K
2025-05-26 10:00:00,Member,1.79 K
2025-05-26 10:00:00,Staff,22.2 K
2025-05-26 10:00:00,Student,1.38 Mil
2025-05-26 10:00:00,Unknown,78.3 K
2025-05-26 11:00:00,Faculty,14.4 K
2025-05-26 11:00:00,Member,1.82 K
2025-05-26 11:00:00,Staff,34.9 K
2025-05-26 11:00:00,Student,3.76 Mil
2025-05-26 11:00:00,Unknown,264 K
2025-05-26 12:00:00,Faculty,24.6 K
2025-05-26 12:00:00,Member,9.93 K
2025-05-26 12:00:00,Staff,34.2 K
2025-05-26 12:00:00,Student,2.92 Mil
2025-05-26 12:00:00,Unknown,1.58 Mil
2025-05-26 13:00:00,Faculty,33.4 K
2025-05-26 13:00:00,Member,1.78 K
2025-05-26 13:00:00,Staff,114 K
2025-05-26 13:00:00,Student,2.27 Mil
2025-05-26 13:00:00,Unknown,395 K
2025-05-26 14:00:00,Faculty,7.61 K
2025-05-26 14:00:00,Member,1.67 K
2025-05-26 14:00:00,Staff,187 K
2025-05-26 14:00:00,Student,2.88 Mil
2025-05-26 14:00:00,Unknown,298 K
2025-05-26 15:00:00,Faculty,382 K
2025-05-26 15:00:00,Member,1.90 K
2025-05-26 15:00:00,Staff,170 K
2025-05-26 15:00:00,Student,2.94 Mil
2025-05-26 15:00:00,Unknown,153 K
2025-05-26 16:00:00,Faculty,221 K
2025-05-26 16:00:00,Member,7.54 K
2025-05-26 16:00:00,Staff,955 K
2025-05-26 16:00:00,Student,1.42 Mil
2025-05-26 16:00:00,Unknown,326 K
2025-05-26 17:00:00,Faculty,32.4 K
2025-05-26 17:00:00,Member,7.45 K
2025-05-26 17:00:00,Staff,170 K
2025-05-26 17:00:00,Student,3.80 Mil
2025-05-26 17:00:00,Unknown,246 K
2025-05-26 18:00:00,Faculty,23.0 K
2025-05-26 18:00:00,Member,3.01 K
2025-05-26 18:00:00,Student,2.58 Mil
2025-05-26 18:00:00,Unknown,52.3 K
2025-05-26 19:00:00,Faculty,87.4 K
2025-05-26 19:00:00,Member,16.9 K
2025-05-26 19:00:00,Staff,2.83 K
2025-05-26 19:00:00,Student,3.87 Mil
2025-05-26 19:00:00,Unknown,303 K
2025-05-26 20:00:00,Faculty,111 K
2025-05-26 20:00:00,Member,24.2 K
2025-05-26 20:00:00,Staff,3.95 K
2025-05-26 20:00:00,Student,3.63 Mil
2025-05-26 20:00:00,Unknown,2.70 Mil
2025-05-26 21:00:00,Faculty,15.4 K
2025-05-26 21:00:00,Member,1.26 K
2025-05-26 21:00:00,Staff,4.82 K
2025-05-26 21:00:00,Student,2.45 Mil
2025-05-26 21:00:00,Unknown,1.87 Mil
2025-05-26 22:00:00,Faculty,384 K
2025-05-26 22:00:00,Member,95.1 K
2025-05-26 22:00:00,Staff,33.0 K
2025-05-26 22:00:00,Student,1.59 Mil
2025-05-26 22:00:00,Unknown,282 K
2025-05-26 23:00:00,Faculty,655 K
2025-05-26 23:00:00,Member,50.6 K
2025-05-26 23:00:00,Student,2.31 Mil
2025-05-26 23:00:00,Unknown,435 K
