sep=,
"Time","GPU 2","GPU 2","GPU 1","GPU 1","GPU 1","GPU 1","GPU 3","GPU 3","GPU 3","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 2","GPU 3","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 2","GPU 2","GPU 1","GPU 1","GPU 0","GPU 0","GPU 3","GPU 1","GPU 0","GPU 2","GPU 0","GPU 2","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 1","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0"
2025-04-23 17:30:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.0,,,59.9,,,57.4,,87.0,,,85.2,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 18:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.6,,,58.5,,,58.5,,,59.9,,,57.4,,87.0,,,85.2,,,,88.1,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 18:30:00,,41.0,,,,39.5,,,39.5,,59.0,,40.1,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,87.0,,,85.4,,,,88.1,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 19:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,86.9,,,85.1,,,,87.8,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 19:30:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,70.6,,,58.5,,,59.9,,,57.4,,87.0,,,85.3,,,,88.0,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 20:00:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,58.0,,,58.0,,,59.9,,,57.4,,86.9,,,85.1,,,,87.9,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 20:30:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,87.0,,,85.1,,,,88.1,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 21:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,171,,,58.4,,,59.8,,,57.4,,87.0,,,85.2,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 21:30:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,58.0,,,58.0,,,59.9,,,57.4,,87.0,,,85.3,,,,88.1,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-23 22:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,69.6,,,58.0,,,59.9,,,57.4,,86.7,,,84.9,,,,87.5,,,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
